,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
243,"Larkin, Shane",2013,Y,203499,shane_larkin,1,BKN,Brooklyn,nets,1610612751,Nets,2015
244,"Lauvergne, Joffrey",2014,Y,203530,joffrey_lauvergne,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
245,"Lawson, Ty",2009,Y,201951,ty_lawson,1,HOU,Houston,rockets,1610612745,Rockets,2015
246,"Lee, Courtney",2008,Y,201584,courtney_lee,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
247,"Lee, David",2005,Y,101135,david_lee,1,BOS,Boston,celtics,1610612738,Celtics,2015
248,"Len, Alex",2013,Y,203458,alex_len,1,PHX,Phoenix,suns,1610612756,Suns,2015
249,"Leonard, Kawhi",2011,Y,202695,kawhi_leonard,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
250,"Leonard, Meyers",2012,Y,203086,meyers_leonard,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
251,"Leuer, Jon",2011,Y,202720,jon_leuer,1,PHX,Phoenix,suns,1610612756,Suns,2015
252,"Lillard, Damian",2012,Y,203081,damian_lillard,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
253,"Lin, Jeremy",2010,Y,202391,jeremy_lin,1,CHA,Charlotte,hornets,1610612766,Hornets,2015
254,"Livingston, Shaun",2004,Y,2733,shaun_livingston,1,GSW,Golden State,warriors,1610612744,Warriors,2015
255,"Looney, Kevon",2015,N,1626172,kevon_looney,1,GSW,Golden State,warriors,1610612744,Warriors,2015
256,"Lopez, Brook",2008,Y,201572,brook_lopez,1,BKN,Brooklyn,nets,1610612751,Nets,2015
257,"Lopez, Robin",2008,Y,201577,robin_lopez,1,NYK,New York,knicks,1610612752,Knicks,2015
258,"Love, Kevin",2008,Y,201567,kevin_love,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
259,"Lowry, Kyle",2006,Y,200768,kyle_lowry,1,TOR,Toronto,raptors,1610612761,Raptors,2015
260,"Lyles, Trey",2015,Y,1626168,trey_lyles,1,UTA,Utah,jazz,1610612762,Jazz,2015
261,"Mack, Shelvin",2011,Y,202714,shelvin_mack,1,ATL,Atlanta,hawks,1610612737,Hawks,2015
262,"Mahinmi, Ian",2007,Y,101133,ian_mahinmi,1,IND,Indiana,pacers,1610612754,Pacers,2015
263,"Marble, Devyn",2014,Y,203906,devyn_marble,1,ORL,Orlando,magic,1610612753,Magic,2015
264,"Marjanovic, Boban",2015,Y,1626246,boban_marjanovic,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
265,"Marshall, Kendall",2012,Y,203088,kendall_marshall,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
266,"Martin, Jarell",2015,Y,1626185,jarell_martin,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
267,"Martin, Kevin",2004,Y,2755,kevin_martin,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
268,"Matthews, Wesley",2009,Y,202083,wesley_matthews,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
269,"Mayo, O.J.",2008,Y,201564,oj_mayo,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
270,"Mbah a Moute, Luc",2008,Y,201601,luc_mbah_a_moute,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
271,"McAdoo, James Michael",2014,Y,203949,james_michael_mcadoo,1,GSW,Golden State,warriors,1610612744,Warriors,2015
272,"McCallum, Ray",2013,Y,203492,ray_mccallum,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
273,"McCollum, CJ",2013,Y,203468,cj_mccollum,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
274,"McConnell, TJ",2015,Y,204456,tj_mcconnell,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
275,"McCullough, Chris",2015,N,1626191,chris_mccullough,1,BKN,Brooklyn,nets,1610612751,Nets,2015
276,"McDaniels, KJ",2014,Y,203909,kj_mcdaniels,1,HOU,Houston,rockets,1610612745,Rockets,2015
277,"McDermott, Doug",2014,Y,203926,doug_mcdermott,1,CHI,Chicago,bulls,1610612741,Bulls,2015
278,"McGary, Mitch",2014,Y,203956,mitch_mcgary,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
279,"McGee, JaVale",2008,Y,201580,javale_mcgee,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
280,"McLemore, Ben",2013,Y,203463,ben_mclemore,1,SAC,Sacramento,kings,1610612758,Kings,2015
281,"McRoberts, Josh",2007,Y,201177,josh_mcroberts,1,MIA,Miami,heat,1610612748,Heat,2015
282,"Meeks, Jodie",2009,Y,201975,jodie_meeks,1,DET,Detroit,pistons,1610612765,Pistons,2015
283,"Mejri, Salah",2015,Y,1626257,salah_mejri,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
284,"Mickey, Jordan",2015,Y,1626175,jordan_mickey,1,BOS,Boston,celtics,1610612738,Celtics,2015
285,"Middleton, Khris",2012,Y,203114,khris_middleton,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
286,"Miles, CJ",2005,Y,101139,cj_miles,1,IND,Indiana,pacers,1610612754,Pacers,2015
287,"Miller, Andre",1999,Y,1889,andre_miller,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
288,"Miller, Mike",2000,Y,2034,mike_miller,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
289,"Mills, Patty",2009,Y,201988,patrick_mills,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
290,"Millsap, Elijah",2014,Y,202407,elijah_millsap,1,UTA,Utah,jazz,1610612762,Jazz,2015
291,"Millsap, Paul",2006,Y,200794,paul_millsap,1,ATL,Atlanta,hawks,1610612737,Hawks,2015
292,"Mirotic, Nikola",2014,Y,202703,nikola_mirotic,1,CHI,Chicago,bulls,1610612741,Bulls,2015
293,"Monroe, Greg",2010,Y,202328,greg_monroe,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
294,"Montero, Luis",2015,Y,1626242,luis_montero,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
295,"Moore, E'Twaun",2011,Y,202734,etwaun_moore,1,CHI,Chicago,bulls,1610612741,Bulls,2015
296,"Moreland, Eric",2014,Y,203961,eric_moreland,1,SAC,Sacramento,kings,1610612758,Kings,2015
297,"Morris, Marcus",2011,Y,202694,marcus_morris,1,DET,Detroit,pistons,1610612765,Pistons,2015
298,"Morris, Markieff",2011,Y,202693,markieff_morris,1,PHX,Phoenix,suns,1610612756,Suns,2015
299,"Morrow, Anthony",2008,Y,201627,anthony_morrow,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
300,"Motiejunas, Donatas",2012,Y,202700,donatas_motiejunas,1,HOU,Houston,rockets,1610612745,Rockets,2015
301,"Mozgov, Timofey",2010,Y,202389,timofey_mozgov,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
302,"Mudiay, Emmanuel",2015,Y,1626144,emmanuel_mudiay,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
303,"Muhammad, Shabazz",2013,Y,203498,shabazz_muhammad,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
304,"Muscala, Mike",2013,Y,203488,mike_muscala,1,ATL,Atlanta,hawks,1610612737,Hawks,2015
305,"Nance Jr., Larry",2015,Y,1626204,larry_nance,1,LAL,Los Angeles,lakers,1610612747,Lakers,2015
